id,parent_id,name,description
1,0,格里芬,总部
101,1,S09区战略指挥中心,狮鹫的头脑能够同时指挥它的翅膀和利爪。
102,1,前线战备队,这里聚集了格里芬最精英的人形——正如鹰喙，击碎一切，助它破敌制胜。
103,1,策应战备队,这里聚集了格里芬最中坚的人形——正如翎羽，覆盖全身，为狮掸尽灰尘。
104,1,边境调查团,这里聚集了格里芬最敏锐的人形——正如鹰眼，精准制约，窥敌千里之外。
105,1,通用支援组,这里聚集了格里芬最不起眼的力量——小瞧她们？小心苍鹰的利爪。
106,1,协议同归部,这里虽然聚集的并非是狮鹫的力量，但即便是最骁勇的猛兽亦有同伴的援助。
107,1,综合勤务部,这里聚集了格里芬最踏实的人形——就如飞翼，可牵动踏实的身体，是狮鹫翱翔的保障。
108,1,人形俱乐部,这里聚集了格里芬最有趣的人形——就像狮子的尾巴，灵巧，难以捉摸，却能够治愈大多数人的心灵。
10101,101,指挥室,指挥作战的本部，指挥官的主要工作地点。
10102,101,总部情报中心,情报中心本部，这里保管着格里芬最宝贵的财富。
10103,101,资料室,将战术情报归纳汇总的地方，格琳娜小姐在这里奉献了大半青春。
10104,101,特别接待室,格里芬人形禁入的神秘小屋，似乎是无人居住的状态，但偶尔会在深夜响起脚步声……
10201,102,情报中心,情报中心前线战备队分支——真正的精英会明白情报的重要性。
10202,102,营地,前线战备队营地，执行任务前的最后一站。
10203,102,仓库,前线战备队仓库，放在这里的东西大都不会有人想看。
10301,103,情报中心,情报中心策应战备队分支——这里的情报多到足够累死九个格琳娜。
10302,103,营地,策应战备队营地，没有那么肃杀的气氛，或许还算是轻松。
10303,103,仓库,策应战备队仓库，这里放着的东西令人想象不到——因为什么都有。
10401,104,情报中心,情报中心边境调查团分支——以图画资料为主的分支部，你喜欢地图吗？
10402,104,前进营地,前进营地，回声触及之地——不论你在哪里，我们都在你身后。
10403,104,仓库,边境调查团仓库，我的老天，你们比策应战备队还乱！
10501,105,情报中心,情报中心通用支援组分支——我们最熟悉的分支，大多数情报任务的来源。
10502,105,妖精小屋,我再说一次，这些不是玩具。我再说一次！
10503,105,格纳库,重装小队的集结地点，或许这里是最有军营气息的地方……
10601,106,协议控制中心,我们对这些东西还所知甚少……或许我们的敌人更加了解。
10602,106,专用训练场,格里芬为同归势力专门新增的训练场，她们对自己的隐私很上心。
10603,106,隔离考场,“怎么？难不成你要跟我们一起？”
10604,106,专用工厂,倒不是特殊待遇……只不过大家使用的技术也都各不相同。
10701,107,咖啡厅,每个人都喜欢任务后的一杯，但偶尔会有其他部门的人跑来顶春田小姐的班，但愿不是我遇上。
10702,107,宿舍,“指挥官……最多三只，我们真的照顾不过来了。”
10703,107,救助站,“不要看我了！她们说最多三只！”
10704,107,物资仓库,这里是格里芬最大的仓库，同时也是最整齐的，由格琳娜小姐亲自负责管理。
10705,107,食堂,战术人形最贴近人类的设计，就是她们也不喜欢辜负美食——虽然禁止进入厨房的名单也在不断增加。
10801,108,部长办公室,格琳娜小姐的<color=#222>助理们的</color>办公室——什么？原来资料室不是她的办公室？
10802,108,社团活动室,人形们总在这里消遣娱乐，而你总能在这里见到几个熟面孔——“MDR！你又在摸鱼！”
10803,108,宴会厅,举办大型活动专用的大厅，闲暇时也会有少数人形在此聚会——但禁止用于拼酒大赛。
